median_income,NAME,state,county,tract,GEOID
142549,Census Tract 5430.06; Harris County; Texas,48,201,543006,48201543006
172894,Census Tract 5430.07; Harris County; Texas,48,201,543007,48201543007
101818,Census Tract 5430.08; Harris County; Texas,48,201,543008,48201543008
74154,Census Tract 5430.09; Harris County; Texas,48,201,543009,48201543009
96776,Census Tract 5430.10; Harris County; Texas,48,201,543010,48201543010
89986,Census Tract 5430.11; Harris County; Texas,48,201,543011,48201543011
110708,Census Tract 5431; Harris County; Texas,48,201,543100,48201543100
76232,Census Tract 5432.01; Harris County; Texas,48,201,543201,48201543201
83616,Census Tract 5432.02; Harris County; Texas,48,201,543202,48201543202
28375,Census Tract 5501.01; Harris County; Texas,48,201,550101,48201550101
30432,Census Tract 5501.02; Harris County; Texas,48,201,550102,48201550102
29000,Census Tract 5502.01; Harris County; Texas,48,201,550201,48201550201
-666666666,Census Tract 5502.02; Harris County; Texas,48,201,550202,48201550202
41193,Census Tract 5503.03; Harris County; Texas,48,201,550303,48201550303
34306,Census Tract 5503.04; Harris County; Texas,48,201,550304,48201550304
64870,Census Tract 5503.05; Harris County; Texas,48,201,550305,48201550305
77057,Census Tract 5503.06; Harris County; Texas,48,201,550306,48201550306
40808,Census Tract 5503.07; Harris County; Texas,48,201,550307,48201550307
32356,Census Tract 5503.08; Harris County; Texas,48,201,550308,48201550308
23121,Census Tract 5504.03; Harris County; Texas,48,201,550403,48201550403
76891,Census Tract 5504.04; Harris County; Texas,48,201,550404,48201550404
49585,Census Tract 5504.05; Harris County; Texas,48,201,550405,48201550405
36528,Census Tract 5504.06; Harris County; Texas,48,201,550406,48201550406
79322,Census Tract 5504.07; Harris County; Texas,48,201,550407,48201550407
60881,Census Tract 5505; Harris County; Texas,48,201,550500,48201550500
71382,Census Tract 5506.01; Harris County; Texas,48,201,550601,48201550601
68875,Census Tract 5506.02; Harris County; Texas,48,201,550602,48201550602
62244,Census Tract 5506.03; Harris County; Texas,48,201,550603,48201550603
95642,Census Tract 5507; Harris County; Texas,48,201,550700,48201550700
69489,Census Tract 5508; Harris County; Texas,48,201,550800,48201550800
71719,Census Tract 5509.01; Harris County; Texas,48,201,550901,48201550901
87545,Census Tract 5509.02; Harris County; Texas,48,201,550902,48201550902
53065,Census Tract 5510; Harris County; Texas,48,201,551000,48201551000
44519,Census Tract 5511.01; Harris County; Texas,48,201,551101,48201551101
77986,Census Tract 5511.02; Harris County; Texas,48,201,551102,48201551102
53176,Census Tract 5512.01; Harris County; Texas,48,201,551201,48201551201
97903,Census Tract 5512.02; Harris County; Texas,48,201,551202,48201551202
138200,Census Tract 5513; Harris County; Texas,48,201,551300,48201551300
88189,Census Tract 5514; Harris County; Texas,48,201,551400,48201551400
58564,Census Tract 5515.01; Harris County; Texas,48,201,551501,48201551501
80893,Census Tract 5515.02; Harris County; Texas,48,201,551502,48201551502
